model,language,word,pos,id,gold_gloss,candidate_1,candidate_2,gold_candidate_idx,predicted_idx,is_correct
tiny-aya-global,Bengali,ব্রহ্মচারিণী,NOUN,13516,"goddess of war; a malevolent aspect of Devi; ""the inaccessible""","bring together in a common cause or emotion; ""The death of their child had drawn them together""","goddess of war; a malevolent aspect of Devi; ""the inaccessible""",1,2,False
tiny-aya-global,Bengali,দুরবীন,NOUN,35375,a magnifier of images of distant objects,large evergreen tropical tree cultivated for its large oval fruit,a storage compartment for clothes and valuables; usually it has a lock,2,1,False
tiny-aya-global,Bengali,ক্ষেপণাস্ত্র,NOUN,6943,a weapon that is forcibly thrown or projected at a targets but is not self-propelled,a place of worship hallowed by association with some sacred thing or person,"regard something as probable or likely; ""The meteorologists are expecting rain for tomorrow""",2,1,False
tiny-aya-global,Bengali,প্রথম পুরুষ,NOUN,8515,pronouns and verbs used to refer to the speaker or writer of the language in which they occur,a degree granted for the successful completion of advanced study of architecture,pronouns and verbs used to refer to the speaker or writer of the language in which they occur,1,2,False
tiny-aya-global,Bengali,ধাতু,NOUN,6298,"(linguistics) the form of a word after all affixes are removed; ""thematic vowels are part of the stem""",an imaginary being of myth or fable,"difficult to understand; ""the most incomprehensible thing about the universe is that it is comprehensible""- A. Einstein",2,1,False
tiny-aya-global,Bengali,বীণাবতী,NOUN,30029,"(classical mythology) a minor nature goddess usually depicted as a beautiful maiden; ""the ancient Greeks believed that nymphs inhabited forests and bodies of water""","(classical mythology) a minor nature goddess usually depicted as a beautiful maiden; ""the ancient Greeks believed that nymphs inhabited forests and bodies of water""","not common or ordinarily encountered; unusually great in amount or remarkable in character or kind; ""uncommon birds""; ""frost and floods are uncommon during these months""; ""doing an uncommon amount of business""; ""an uncommon liking for money""; ""he owed his greatest debt to his mother' s uncommon character and ability""",0,1,False
tiny-aya-global,Bengali,শৈক্ষিক,ADJECTIVE,8089,"associated with academia or an academy; ""the academic curriculum""; ""academic gowns""",the part of the body between the neck and the upper arm,"any instrument or instrumentality used in fighting or hunting; ""he was licensed to carry a weapon""",2,1,False
tiny-aya-global,Bengali,শূদ্র,NOUN,2142,the lowest of the four varnas: the servants and workers of low status,a person who sings,"not yet proved or subjected to testing; ""an untested drug""; ""untested theory""; ""an untried procedure""",2,2,True
tiny-aya-global,Bengali,পরিবর্ধিত,ADJECTIVE,18531,"as of a photograph; made larger; ""the enlarged photograph revealed many details""",(meat) cooked by dry heat in an oven,"as of a photograph; made larger; ""the enlarged photograph revealed many details""",1,2,False
tiny-aya-global,Bengali,সুগন্ধী,ADJECTIVE,4714,"having a strong pleasant odor; ""the pine woods were more redolent""- Jean Stafford","having a strong pleasant odor; ""the pine woods were more redolent""- Jean Stafford",an imaginary being of myth or fable,0,1,False
tiny-aya-global,Bengali,স্বাভাবিক প্রবৃত্তি,NOUN,10206,"inborn pattern of behavior often responsive to specific stimuli; ""the spawning instinct in salmon""; ""altruistic instincts in social animals""","inborn pattern of behavior often responsive to specific stimuli; ""the spawning instinct in salmon""; ""altruistic instincts in social animals""","a large natural stream of water (larger than a creek); ""the river was navigable for 50 miles""",0,1,False
tiny-aya-global,Bengali,পানতুয়া,NOUN,28997,a food rich in sugar,a food rich in sugar,"hide from view or knowledge; ""The President covered the fact that he bugged the offices in the White House""",0,2,False
tiny-aya-global,Bengali,হিন্দোল,NOUN,16218,any of various fixed orders of the various diatonic notes within an octave,any of various fixed orders of the various diatonic notes within an octave,a region marked off for administrative or other purposes,0,1,False
tiny-aya-global,Bengali,যক্ষ্মনাশন,NOUN,29925,a mentor in spiritual and philosophical topics who is renowned for profound wisdom,"related to or dealing with or devoted to archaeology; ""an archaeological dig""; ""a dramatic archaeological discovery""",a mentor in spiritual and philosophical topics who is renowned for profound wisdom,1,1,True
tiny-aya-global,Bengali,জেত্রোফা,NOUN,24355,annual or perennial herbaceous or shrubby plants; cosmopolitan except Australia,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal),annual or perennial herbaceous or shrubby plants; cosmopolitan except Australia,1,1,True
tiny-aya-global,Bengali,সাতাশি,NOUN,15777,"a concept of quantity derived from zero and units; ""every number has a unique position in the sequence""",an imaginary being of myth or fable,jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe,2,2,True
tiny-aya-global,Bengali,ভাটি,NOUN,563,kitchen appliance used for baking or roasting,kitchen appliance used for baking or roasting,a vitamin that maintains the resistance of cell and capillary walls to permeation,0,1,False
tiny-aya-global,Bengali,মোটা আটা,NOUN,33483,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain,a republic on the Isthmus of Panama; achieved independence from Colombia in 1903,0,1,False
tiny-aya-global,Bengali,প্রতিবন্ধক,NOUN,13157,someone who systematically obstructs some action that others want to take,someone who systematically obstructs some action that others want to take,"capable of being settled or resolved; ""all disputed points are potentially resolvable""; ""a resolvable quarrel""",0,1,False
tiny-aya-global,Bengali,বানুআটু,NOUN,24354,a volcanic island republic in Melanesia; independent since 1980,"a large natural stream of water (larger than a creek); ""the river was navigable for 50 miles""",a volcanic island republic in Melanesia; independent since 1980,1,1,True
tiny-aya-global,Bengali,উদ্যোগ,NOUN,3820,"the people or companies engaged in a particular kind of commercial enterprise; ""each industry has its own trade publications""",any of various fixed orders of the various diatonic notes within an octave,"the people or companies engaged in a particular kind of commercial enterprise; ""each industry has its own trade publications""",1,2,False
tiny-aya-global,Bengali,বিজ্ঞাপন,NOUN,875,a public promotion of some product or service,a public promotion of some product or service,an imaginary being of myth or fable,0,1,False
tiny-aya-global,Bengali,কোটা,NOUN,28033,a Dravidian language spoken by the Kota,an imaginary being of myth or fable,"large oval tropical fruit having smooth skin, juicy aromatic pulp, and a large hairy seed",2,2,True
tiny-aya-global,Bengali,উপেক্ষা করা,VERB,5785,"refuse to acknowledge; ""She cut him dead at the meeting""",an imaginary being of myth or fable,"refuse to acknowledge; ""She cut him dead at the meeting""",1,2,False
tiny-aya-global,Bengali,কোরিয়ান,ADJECTIVE,19031,"of or relating to or characteristic of Korea or its people or language; ""Korean handicrafts""","full of trivial conversation; ""kept from her housework by gabby neighbors""","of or relating to or characteristic of Korea or its people or language; ""Korean handicrafts""",1,2,False
tiny-aya-global,Bengali,বংশবলী,NOUN,8020,successive generations of kin,any monetary aid,"not acceptable; not welcome; ""a word unacceptable in polite society""; ""an unacceptable violation of personal freedom""",2,2,True
tiny-aya-global,Bengali,খারাপ,NOUN,4565,the act of damaging something or someone,"a small flat compressed cake of some substance; ""a tablet of soap""","dry seedlike fruit produced by the cereal grasses: e.g. wheat, barley, Indian corn",2,1,False
tiny-aya-global,Bengali,মানসা শহর,NOUN,25834,"a large and densely populated urban area; may include several independent administrative districts; ""Ancient Troy was a great city""","a large and densely populated urban area; may include several independent administrative districts; ""Ancient Troy was a great city""",being six more than ninety,0,1,False
tiny-aya-global,Bengali,সাংবিধানিক,ADJECTIVE,10063,"of or relating to a constitution; ""constitutional amendments""",an imaginary being of myth or fable,a food rich in sugar,2,1,False
tiny-aya-global,Bengali,সামন্তকালীন,ADJECTIVE,2572,"characteristic of the time of chivalry and knighthood in the Middle Ages; ""chivalric rites""; ""the knightly years""","characteristic of the time of chivalry and knighthood in the Middle Ages; ""chivalric rites""; ""the knightly years""",small crude shelter used as a dwelling,0,1,False
tiny-aya-global,Bengali,বর্ষিত হওয়া,VERB,11501,"rain abundantly; ""Meteors showered down over half of Australia""","work done by one person or group that benefits another; ""budget separately for goods and services""","rain abundantly; ""Meteors showered down over half of Australia""",1,2,False
tiny-aya-global,Bengali,গালিচা,NOUN,800,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile),a vitamin that maintains the resistance of cell and capillary walls to permeation,any of various fixed orders of the various diatonic notes within an octave,2,2,True
tiny-aya-global,Bengali,ঋণ,NOUN,10904,money or goods or services owed by one person to another,a punctuation mark used to attribute the enclosed text to someone else,a region marked off for administrative or other purposes,2,2,True
tiny-aya-global,Bengali,ব্রেল লিপি,NOUN,21426,a point system of writing in which patterns of raised dots represent letters and numerals,(sports) the chief official (as in boxing or American football) who is expected to ensure fair play,a point system of writing in which patterns of raised dots represent letters and numerals,1,2,False
tiny-aya-global,Bengali,দোয়াঙ্গ নদী,NOUN,26569,"a large natural stream of water (larger than a creek); ""the river was navigable for 50 miles""","accept as a challenge; ""I' ll tackle this difficult task""","a large natural stream of water (larger than a creek); ""the river was navigable for 50 miles""",1,2,False
tiny-aya-global,Bengali,সঙ্কট,NOUN,3656,"an unstable situation of extreme danger or difficulty; ""they went bankrupt during the economic crisis""",a prince or king in India,"the body of citizens of a state or country; ""the Spanish people""",2,1,False
tiny-aya-global,Bengali,প্যারিস,NOUN,20193,the capital and largest city of France; and international center of culture and commerce,a free-reed instrument in which air is forced through the reeds by bellows,any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below,2,1,False
tiny-aya-global,Bengali,বেলাডোনা,NOUN,20536,an alkaloidal extract or tincture of the poisonous belladonna plant that is used medicinally,"run away from confinement; ""The convicted murderer escaped from a high security prison""",an organization of missionaries in a foreign land sent to carry on religious work,2,1,False
tiny-aya-global,Bengali,গথিক ভাষায়,ADJECTIVE,26884,"of or relating to the language of the ancient Goths; ""the Gothic Bible translation""","the manifestation of a Hindu deity (especially Vishnu) in human or superhuman or animal form; ""the Buddha is considered an avatar of the god Vishnu""","of or relating to the language of the ancient Goths; ""the Gothic Bible translation""",1,1,True
tiny-aya-global,Bengali,শায়িত,ADJECTIVE,15605,lying down; in a position of comfort or rest,"related to or dealing with or devoted to archaeology; ""an archaeological dig""; ""a dramatic archaeological discovery""",lying down; in a position of comfort or rest,1,1,True
tiny-aya-global,Bengali,কুঁদরু,NOUN,17169,any vine of the family Cucurbitaceae that bears fruits with hard rinds,a land mass that projects well above its surroundings; higher than a hill,any vine of the family Cucurbitaceae that bears fruits with hard rinds,1,1,True
tiny-aya-global,Bengali,যাচাই করা,VERB,12820,"be verified or confirmed; pass inspection; ""These stories don' t check!""",any of various fixed orders of the various diatonic notes within an octave,"fill with gas or air; ""inflate a balloons""",2,2,True
tiny-aya-global,Bengali,গদি,NOUN,34574,"a job in an organization; ""he occupied a post in the treasury""","in the original or natural place or site; ""carcinoma in situ""; ""the archeologists left the pottery in place""",someone who plays the bagpipe,2,1,False
tiny-aya-global,Bengali,ডোসা,NOUN,441,"a particular item of prepared food; ""she prepared a special dish for dinner""",lying down; in a position of comfort or rest,"a particular item of prepared food; ""she prepared a special dish for dinner""",1,2,False
