model,language,id,word,pos,context,gold_gloss,predicted_gloss,sbert_score
tiny-aya-global,Bengali,13516,ব্রহ্মচারিণী,NOUN,দূর্গার নয়টি রূপের একটি যিনি ব্রহ্মচর্যে ব্রতী ছিলেন || নবরাত্রির দ্বিতীয় দিন ব্রহ্মচারিণীর পূজা করা হয়,"goddess of war; a malevolent aspect of Devi; ""the inaccessible""","A female devotee who has taken the vow of celibacy, often associated with the second day of Navaratri and worshipped in Hindu traditions.",0.4719
tiny-aya-global,Bengali,35375,দুরবীন,NOUN,"দূরের বস্তুর ছবি বড় করে দেখার একটি যন্ত্র||মুম্বাই-এর তারাগৃহে আকাশের গ্রহ, নক্ষত্র দেখার  জন্য দুরবিন থাকে।",a magnifier of images of distant objects,"A device used to magnify and observe distant objects, particularly in astronomy, such as stars and planets.",0.6841
tiny-aya-global,Bengali,6943,ক্ষেপণাস্ত্র,NOUN,সেই অস্ত্র যা ছোঁড়া হয়|| বৈজ্ঞানিকরা একটা নতুন ক্ষেপণাস্ত্র পরীক্ষা করেছেন,a weapon that is forcibly thrown or projected at a targets but is not self-propelled,A missile is a guided weapon that is launched from a vehicle or other means of delivery to strike a target.,0.653
tiny-aya-global,Bengali,8515,প্রথম পুরুষ,NOUN,"সেই সর্বনাম যা হল পুরুষবাচক|| আমি, আমরা ইত্যাদি হল প্রথম পুরুষবাচক",pronouns and verbs used to refer to the speaker or writer of the language in which they occur,First-person singular pronoun,0.6763
tiny-aya-global,Bengali,6298,ধাতু,NOUN,"ক্রিয়ার মূল রূপ|| সংস্কৃতে ভূ, ক্রি ইত্যাদি ধাতু আছে","(linguistics) the form of a word after all affixes are removed; ""thematic vowels are part of the stem""",A metal or a metal object; the root form of a verb in Sanskrit.,0.3612
tiny-aya-global,Bengali,30029,বীণাবতী,NOUN,একজন অপ্সরা||পুরাণে বীণাবতীর বর্ণনা পাওয়া যায়,"(classical mythology) a minor nature goddess usually depicted as a beautiful maiden; ""the ancient Greeks believed that nymphs inhabited forests and bodies of water""","The name ""Beeṇāvatī"" refers to a celestial nymph or apsara from Hindu mythology, known for her enchanting music and celestial beauty.",0.5707
tiny-aya-global,Bengali,8089,শৈক্ষিক,ADJECTIVE,শিক্ষার বা শিক্ষা-সংক্রান্ত|| আপনাকে এই আবেদন পত্রের সাথে শিক্ষাগত যোগ্যতার প্রমাণ-পত্রও দিতে হবে,"associated with academia or an academy; ""the academic curriculum""; ""academic gowns""",educational,0.5088
tiny-aya-global,Bengali,2142,শূদ্র,NOUN,হিন্দুদের চারটি বর্ণের মধ্যে চতুর্থ এবং শেষ বর্ণ|| বর্ণাশ্রম প্রথায় শূদ্রদের কাজ ছিল সেবা করা,the lowest of the four varnas: the servants and workers of low status,"The Shudras are the fourth and final caste in Hindu society, traditionally assigned to menial or service-oriented tasks, reflecting the caste-based social hierarchy of ancient India.",0.5462
tiny-aya-global,Bengali,18531,পরিবর্ধিত,ADJECTIVE,যা বাড়ানো হয়েছে|| প্রোজেক্টর দিয়ে পরিবর্ধিত চিত্র পর্দার উপর দেখানো হয়,"as of a photograph; made larger; ""the enlarged photograph revealed many details""",Enhanced or amplified.,0.485
tiny-aya-global,Bengali,4714,সুগন্ধী,ADJECTIVE,যাতে সুগন্ধ আছে|| গোলাপ একটা সুগন্ধী ফুল,"having a strong pleasant odor; ""the pine woods were more redolent""- Jean Stafford",fragrant,0.3247
tiny-aya-global,Bengali,10206,স্বাভাবিক প্রবৃত্তি,NOUN,স্বাভাবিক প্রবৃত্তি|| ছোটো ছোটো কথায় রেগে যাওয়া অঞ্জলীর স্বাভাবিক প্রবৃত্তি,"inborn pattern of behavior often responsive to specific stimuli; ""the spawning instinct in salmon""; ""altruistic instincts in social animals""","The natural inclination or instinctive tendency to react impulsively, often in response to minor irritations or provocations.",0.6178
tiny-aya-global,Bengali,28997,পানতুয়া,NOUN,একপ্রকার মিষ্টি||মহেশ পানতুয়া খাচ্ছে,a food rich in sugar,a type of sweet,0.692
tiny-aya-global,Bengali,16218,হিন্দোল,NOUN,একটি রাগ||সঙ্গীতজ্ঞ হিন্দোল গাইছেন,any of various fixed orders of the various diatonic notes within an octave,a Hindustani classical song or melody,0.2755
tiny-aya-global,Bengali,29925,যক্ষ্মনাশন,NOUN,একজন পৌরাণিক ঋষি||ঋগবেদে যক্ষ্মনাশন ঋষির বর্ণনা পাওয়া যায়,a mentor in spiritual and philosophical topics who is renowned for profound wisdom,"The term ""যক্ষ্মনাশন"" refers to the legendary sage Yaksamanasena, mentioned in the Rigveda, known for his ability to cure leprosy.",0.3331
tiny-aya-global,Bengali,24355,জেত্রোফা,NOUN,একটি গাছ যা ঔষধ রূপে ব্যবহার করা হয় || জেত্রোফা কাশ্মীরে বেশী পরিমাণে পাওয়া যায়,annual or perennial herbaceous or shrubby plants; cosmopolitan except Australia,"A tree used in medicine, commonly found in Kashmir.",0.4955
tiny-aya-global,Bengali,15777,সাতাশি,NOUN,আশি এবং সাত যোগ করে প্রাপ্ত সংখ্যা||পঞ্চাশ এবং সাঁইত্রিশ যোগ করে সাতাশি হয়,"a concept of quantity derived from zero and units; ""every number has a unique position in the sequence""","The number 78, formed by adding 80 and 7.",0.2859
tiny-aya-global,Bengali,563,ভাটি,NOUN,ইঁটের তৈরী সেই বড় উনান যাতে পাচকেরা নানা প্রকারের বস্তু রান্না করে থাকেন|| কৈলাশ ভাটিতে মিঠাই তৈরী করছিল,kitchen appliance used for baking or roasting,"a large clay pot used for cooking, often with a lid, commonly found in kitchens for preparing various dishes.",0.6616
tiny-aya-global,Bengali,33483,মোটা আটা,NOUN,গমের মোটা আটা||মা মোটা আটা দিয়ে খুরমা বানাচ্ছে,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain,Thick wheat flour,0.1585
tiny-aya-global,Bengali,13157,প্রতিবন্ধক,NOUN,বাধা বা প্রতিবন্ধকতা উত্পন্ন করে যে ব্যক্তি|| প্রতিবন্ধকদের কারণেই আমার বহু কাজ আটকে রয়েছে,someone who systematically obstructs some action that others want to take,An obstacle or barrier that hinders progress or prevents the completion of tasks.,0.6366
